,Unnamed: 0,name,country,latitude,longitude,max temperature,humidity,cloudiness,wind speed,current description,Hotel Name
8,8,Maragogi,BR,-9.0122,-35.2225,76.46,84,91,3.09,overcast clouds,Pousada Mariluz
11,11,Rikitea,PF,-23.1203,-134.9692,77.86,67,71,1.88,light rain,Chez Bianca & Benoit
17,17,Hithadhoo,MV,-0.6,73.0833,80.1,76,100,11.79,moderate rain,Pebbles Inn
25,25,Brazzaville,CG,-4.2658,15.2832,73.6,89,100,3.91,overcast clouds,BLISS HOTEL
30,30,Souillac,MU,-20.5167,57.5167,75.58,100,75,3.44,thunderstorm with rain,Hotel SkylineInn
31,31,Mogadishu,SO,2.0371,45.3438,76.87,78,20,9.22,few clouds,SYL Hotel
33,33,Padang,ID,-0.9492,100.3543,82.45,75,93,3.09,overcast clouds,losmen Surya
37,37,Atuona,PF,-9.8,-139.0333,78.85,79,14,16.87,light rain,Pearl Resort
40,40,Hualmay,PE,-11.0964,-77.6139,70.16,79,100,7.23,overcast clouds,Hotel Mi Choacan
45,45,Vaini,TO,-21.2,-175.2,86.16,79,40,18.41,light rain,Keleti International Resort
53,53,Matara,LK,5.9485,80.5353,80.76,53,52,8.7,broken clouds,Villa Palm Breeze
56,56,Kapaa,US,22.0752,-159.319,77.32,84,75,12.66,broken clouds,Pono Kai Resort
59,59,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,89,10.63,moderate rain,Le Baril
65,65,Mareeba,AU,-17.0,145.4333,84.92,72,100,5.86,overcast clouds,The Gateway Hotel
70,70,Kavieng,PG,-2.5744,150.7967,83.44,70,96,5.03,light rain,Kavieng Hotel
75,75,Kapoeta,SS,4.7717,33.5903,82.71,26,98,9.57,overcast clouds,Kuleu
78,78,Ahipara,NZ,-35.1667,173.1667,71.35,62,0,10.63,clear sky,YHA Ahipara
80,80,George Town,MY,5.4112,100.3354,85.93,70,20,8.05,few clouds,Page 63 hostel
82,82,Cockburn Town,TC,21.4612,-71.1419,76.75,75,31,19.17,scattered clouds,The Salt Raker Inn
84,84,Sur,OM,22.5667,59.5289,70.14,51,28,15.82,scattered clouds,Sur Hotel
92,92,Hilo,US,19.7297,-155.09,81.28,73,20,12.66,few clouds,Dolphin Bay Hotel
93,93,São Filipe,CV,14.8961,-24.4956,72.81,72,13,14.2,few clouds,Bela Vista
94,94,Puerto Ayora,EC,-0.7393,-90.3518,74.55,96,17,5.77,few clouds,Hostal La Mirada De Solitario George
95,95,Tual,ID,-5.6667,132.75,82.15,78,100,16.58,overcast clouds,Suita
107,107,Garissa,KE,-0.4536,39.6401,73.65,79,27,3.53,scattered clouds,Hiddig Hotel
111,111,Lamu,KE,-2.2717,40.902,79.02,84,83,11.74,broken clouds,Hotel Archipelago villa bed and breakfast
122,122,Cidreira,BR,-30.1811,-50.2056,73.24,89,19,10.89,few clouds,Hotel Castelo
131,131,Denpasar,ID,-8.65,115.2167,85.71,74,40,4.61,scattered clouds,Hotel Candra Adiguna
133,133,Nampula,MZ,-15.1165,39.2666,73.35,94,75,4.61,broken clouds,Hotel Lurio
134,134,Pisco,PE,-13.7,-76.2167,71.65,83,0,8.05,clear sky,La Portada
135,135,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,19.57,few clouds,Atlantis Hotel
140,140,Pemba,MZ,-12.974,40.5178,77.7,94,20,3.44,light rain,Hotel Rafael
143,143,Sorong,ID,-0.8833,131.25,82.89,70,99,5.41,overcast clouds,Hotel Membramo Marina
145,145,Avarua,CK,-21.2078,-159.775,82.45,78,40,18.41,scattered clouds,Paradise Inn
154,154,Broken Hill,AU,-31.95,141.4333,76.57,19,99,13.85,overcast clouds,Ibis Styles
157,157,Emerald,AU,-23.5333,148.1667,87.35,51,4,6.26,clear sky,Emerald Central Hotel
159,159,Touros,BR,-5.1989,-35.4608,77.86,82,99,8.03,overcast clouds,Pousada Atlântico
161,161,Flic en Flac,MU,-20.2742,57.3631,77.52,86,99,10.76,light rain,Villas Caroline
162,162,Formosa,AR,-26.1775,-58.1781,84.18,70,0,5.75,clear sky,Hotel Hostal del Rey
163,163,Mahébourg,MU,-20.4081,57.7,77.25,100,75,3.44,thunderstorm with rain,Grand Bel Air
172,172,Hervey Bay,AU,-25.2986,152.8535,84.02,59,38,8.99,scattered clouds,Hervey Bay Hotel
174,174,Cap Malheureux,MU,-19.9842,57.6142,77.47,89,100,14.36,heavy intensity rain,Cape Garden
180,180,Fare,PF,-16.7,-151.0167,81.25,74,7,17.58,light rain,hôtel Maitai Lapita Village
190,190,Pitimbu,BR,-7.4706,-34.8086,75.79,78,97,7.67,overcast clouds,Pousada Brisa Mar
192,192,Nacala,MZ,-14.5428,40.6728,75.24,91,100,4.14,overcast clouds,Indico Apart Hotel 2
199,199,Byron Bay,AU,-28.65,153.6167,75.94,77,93,15.19,overcast clouds,Lord Byron Resort
202,202,Meulaboh,ID,4.1363,96.1285,82.42,65,100,0.65,overcast clouds,Hotel Meuligou
205,205,Toamasina,MG,-18.1667,49.3833,75.2,94,75,12.66,moderate rain,Androranga
208,208,Daru,PG,-9.0763,143.2092,88.07,60,77,15.95,broken clouds,Kuki
211,211,Pochutla,MX,15.7432,-96.4661,76.82,74,97,2.89,overcast clouds,Posada San Jose
215,215,Faanui,PF,-16.4833,-151.75,80.53,74,20,18.77,light rain,Oa Oa Lodge
217,217,Wajir,KE,1.7471,40.0573,75.16,73,0,8.05,clear sky,Kilimanjaro
225,225,Puerto Madryn,AR,-42.7692,-65.0385,80.58,45,98,18.12,overcast clouds,Hotel Gran Palace
227,227,Sibolga,ID,1.7427,98.7792,84.13,64,89,3.96,overcast clouds,Hotel Prima Indah
242,242,Omboué,GA,-1.5746,9.2618,74.86,91,100,3.27,overcast clouds,Georges Faustin Aurat
245,245,Gambēla,ET,8.25,34.5833,78.66,41,100,2.57,overcast clouds,Grand Hotel
262,262,Luanda,AO,-8.8368,13.2343,73.4,94,100,16.11,light intensity drizzle,Hotel Forum
265,265,Riohacha,CO,11.5444,-72.9072,76.33,77,82,12.19,broken clouds,IMPERIAL
266,266,Bengkulu,ID,-3.8004,102.2655,79.0,85,93,3.67,overcast clouds,Dena Hotel
269,269,Catuday,PH,16.2923,119.8062,82.38,57,33,8.88,scattered clouds,Nina Anchors Inn
270,270,Ilebo,CD,-4.3167,20.5833,70.95,97,100,1.28,light rain,Hôtel des Palmes
272,272,Salinópolis,BR,-0.6136,-47.3561,74.12,89,100,3.83,overcast clouds,Hotel Salinópolis
278,278,Nabire,ID,-3.3667,135.4833,85.8,67,89,5.28,overcast clouds,Hotel Anggrek
280,280,Noumea,NC,-22.2763,166.4572,86.0,99,77,15.7,broken clouds,Hotel Gondwana
285,285,Bubaque,GW,11.2833,-15.8333,77.95,55,34,10.74,scattered clouds,Chez Julio
287,287,Kloulklubed,PW,7.0419,134.2556,82.69,76,80,19.77,broken clouds,The Adventures Inn
