,name,country,latitude,longitude,max temperature,humidity,cloudiness,wind speed,current description
0,Bograd,RU,54.2344,90.8328,9.79,91,100,5.59,light snow
1,Khatanga,RU,71.9667,102.5,-44.21,97,28,3.36,scattered clouds
2,Tautira,PF,-17.7333,-149.15,81.14,75,24,14.67,few clouds
3,East London,ZA,-33.0153,27.9116,70.74,94,20,3.44,few clouds
4,Punta Arenas,CL,-53.15,-70.9167,57.31,82,0,14.97,clear sky
5,Oranjemund,NA,-28.55,16.4333,60.75,94,1,5.64,clear sky
6,Sosenskiy,RU,54.059,35.9623,37.6,84,100,14.92,overcast clouds
7,Srednekolymsk,RU,67.45,153.6833,-29.13,98,100,4.07,overcast clouds
8,Maragogi,BR,-9.0122,-35.2225,76.46,84,91,3.09,overcast clouds
9,Sørland,NO,67.667,12.6934,39.06,77,100,20.69,overcast clouds
10,Pevek,RU,69.7008,170.3133,-20.92,92,100,16.2,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,77.86,67,71,1.88,light rain
12,Ushuaia,AR,-54.8,-68.3,49.66,100,75,8.05,light rain
13,Narsaq,GL,60.9167,-46.05,17.11,93,100,2.91,overcast clouds
14,Lagoa,PT,39.05,-27.9833,57.45,70,63,18.66,broken clouds
15,Erbil,IQ,36.1926,44.0106,39.02,70,0,4.61,clear sky
16,Mataura,NZ,-46.1927,168.8643,59.5,89,90,7.81,light rain
17,Hithadhoo,MV,-0.6,73.0833,80.1,76,100,11.79,moderate rain
18,Hobart,AU,-42.8794,147.3294,69.66,52,40,13.8,scattered clouds
19,Arman',RU,59.7,150.1667,-15.29,81,53,9.8,broken clouds
20,Laguna,US,38.421,-121.4238,49.14,68,0,13.8,clear sky
21,Miles City,US,46.4083,-105.8406,27.57,80,0,5.75,clear sky
22,Rocha,UY,-34.4833,-54.3333,65.16,96,0,6.85,clear sky
23,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,100,10.36,light snow
24,Los Llanos de Aridane,ES,28.6585,-17.9182,58.12,79,75,16.11,broken clouds
25,Brazzaville,CG,-4.2658,15.2832,73.6,89,100,3.91,overcast clouds
26,Albany,US,42.6001,-73.9662,36.52,93,100,1.72,light snow
27,Atbasar,KZ,51.8,68.3333,6.13,84,62,5.61,broken clouds
28,Karla,EE,59.3723,24.9275,32.99,86,100,2.3,overcast clouds
29,Ponta do Sol,PT,32.6667,-17.1,62.71,63,61,9.22,broken clouds
30,Souillac,MU,-20.5167,57.5167,75.58,100,75,3.44,thunderstorm with rain
31,Mogadishu,SO,2.0371,45.3438,76.87,78,20,9.22,few clouds
32,Ilulissat,GL,69.2167,-51.1,-33.18,72,4,6.53,clear sky
33,Padang,ID,-0.9492,100.3543,82.45,75,93,3.09,overcast clouds
34,Nikolskoye,RU,59.7035,30.7861,32.81,97,100,3.15,light snow
35,Bethel,US,41.3712,-73.414,40.77,87,100,11.5,mist
36,Zhangjiakou,CN,40.81,114.8794,8.17,41,0,2.8,clear sky
37,Atuona,PF,-9.8,-139.0333,78.85,79,14,16.87,light rain
38,Husavik,IS,66.0449,-17.3389,21.92,76,100,12.21,overcast clouds
39,Tiarei,PF,-17.5333,-149.3333,86.02,76,32,15.9,scattered clouds
40,Hualmay,PE,-11.0964,-77.6139,70.16,79,100,7.23,overcast clouds
41,Hermanus,ZA,-34.4187,19.2345,62.8,85,0,4.16,clear sky
42,Lavrentiya,RU,65.5833,-171.0,-23.37,93,31,7.18,scattered clouds
43,Cape Town,ZA,-33.9258,18.4232,67.08,82,0,4.61,clear sky
44,Bentiu,SS,9.2333,29.8333,72.34,26,26,5.75,scattered clouds
45,Vaini,TO,-21.2,-175.2,86.16,79,40,18.41,light rain
46,Qaanaaq,GL,77.484,-69.3632,-32.42,57,0,9.06,clear sky
47,Port Alfred,ZA,-33.5906,26.891,69.19,94,64,1.01,broken clouds
48,Samarai,PG,-10.6167,150.6667,80.1,84,99,11.59,overcast clouds
49,Cabo San Lucas,MX,22.8909,-109.9124,67.51,71,100,8.19,overcast clouds
50,Talnakh,RU,69.4865,88.3972,-29.54,90,5,6.22,clear sky
51,Bluefield,US,37.2698,-81.2223,47.77,78,44,16.04,scattered clouds
52,Jamestown,US,42.097,-79.2353,42.39,61,90,8.01,overcast clouds
53,Matara,LK,5.9485,80.5353,80.76,53,52,8.7,broken clouds
54,Phoenix,US,33.4484,-112.074,52.92,56,52,1.99,broken clouds
55,Kulhudhuffushi,MV,6.6221,73.07,80.08,60,11,11.25,few clouds
56,Kapaa,US,22.0752,-159.319,77.32,84,75,12.66,broken clouds
57,Torbay,CA,47.6666,-52.7314,33.39,92,100,11.5,light shower snow
58,New Norfolk,AU,-42.7826,147.0587,69.3,44,91,4.36,overcast clouds
59,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,89,10.63,moderate rain
60,Busselton,AU,-33.65,115.3333,85.57,38,2,4.74,clear sky
61,Bredasdorp,ZA,-34.5322,20.0403,64.26,89,3,1.86,clear sky
62,Barrow,US,71.2906,-156.7887,-7.58,77,100,14.97,overcast clouds
63,Klaksvík,FO,62.2266,-6.589,29.32,58,99,3.58,overcast clouds
64,Tirlyanskiy,RU,54.2109,58.5806,9.1,76,77,3.69,broken clouds
65,Mareeba,AU,-17.0,145.4333,84.92,72,100,5.86,overcast clouds
66,Saldanha,ZA,-33.0117,17.9442,62.65,96,2,6.08,clear sky
67,Dunedin,NZ,-45.8742,170.5036,61.81,82,100,7.0,overcast clouds
68,La Ronge,CA,55.1001,-105.2842,17.85,93,100,5.75,light snow
69,Bluff,NZ,-46.6,168.3333,59.68,72,67,25.46,broken clouds
70,Kavieng,PG,-2.5744,150.7967,83.44,70,96,5.03,light rain
71,Ozinki,RU,51.1786,49.6769,9.86,89,5,7.18,clear sky
72,Port Elizabeth,ZA,-33.918,25.5701,69.1,91,20,8.05,few clouds
73,Karuzi Province,BI,-3.125,30.1333,57.25,94,96,1.83,overcast clouds
74,Buala,SB,-8.145,159.5921,85.35,68,100,6.55,overcast clouds
75,Kapoeta,SS,4.7717,33.5903,82.71,26,98,9.57,overcast clouds
76,Tigil',RU,57.8,158.6667,-12.95,97,89,0.29,overcast clouds
77,Gardenstown,GB,57.671,-2.336,37.81,75,70,19.39,broken clouds
78,Ahipara,NZ,-35.1667,173.1667,71.35,62,0,10.63,clear sky
79,Morgan City,US,29.6994,-91.2068,57.2,72,0,0.0,clear sky
80,George Town,MY,5.4112,100.3354,85.93,70,20,8.05,few clouds
81,Lüderitz,NA,-26.6481,15.1594,64.81,70,14,14.67,few clouds
82,Cockburn Town,TC,21.4612,-71.1419,76.75,75,31,19.17,scattered clouds
83,Okhotsk,RU,59.3833,143.3,-10.37,77,99,12.77,overcast clouds
84,Sur,OM,22.5667,59.5289,70.14,51,28,15.82,scattered clouds
85,Baoshan,CN,46.5586,131.4244,-5.75,77,100,7.99,overcast clouds
86,Anadyr,RU,64.75,177.4833,-27.0,67,0,8.01,clear sky
87,Saint Paul Harbor,US,57.79,-152.4072,35.11,93,40,8.05,scattered clouds
88,Fort Morgan,US,40.2503,-103.8,26.02,63,0,0.0,clear sky
89,Constitución,CL,-35.3333,-72.4167,58.53,81,90,2.91,overcast clouds
90,Haines Junction,CA,60.7522,-137.5108,10.92,100,71,2.21,broken clouds
91,Tiksi,RU,71.6872,128.8694,-27.74,100,100,3.58,overcast clouds
92,Hilo,US,19.7297,-155.09,81.28,73,20,12.66,few clouds
93,São Filipe,CV,14.8961,-24.4956,72.81,72,13,14.2,few clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,74.55,96,17,5.77,few clouds
95,Tual,ID,-5.6667,132.75,82.15,78,100,16.58,overcast clouds
96,Arraial do Cabo,BR,-22.9661,-42.0278,73.94,89,0,17.36,clear sky
97,Bansang,GM,13.4333,-14.65,72.27,19,24,6.91,few clouds
98,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,3.44,clear sky
99,Saint Anthony,US,45.0205,-93.218,28.53,86,100,12.66,overcast clouds
100,Grindavik,IS,63.8424,-22.4338,37.87,87,100,34.52,light rain
101,Yellowknife,CA,62.456,-114.3525,10.92,92,20,9.22,few clouds
102,Yumen,CN,40.2833,97.2,14.76,56,9,23.0,clear sky
103,Zemio,CF,5.0314,25.1361,69.01,35,98,2.04,overcast clouds
104,Lebu,CL,-37.6167,-73.65,55.42,94,6,2.73,clear sky
105,Ribeira Grande,PT,38.5167,-28.7,58.77,75,93,15.99,overcast clouds
106,Kutum,SD,14.2,24.6667,58.84,21,2,3.51,clear sky
